Route,Pricing,Frequency,No_of_Bus_Operators,Distance,Expansion_Score
Bangalore -> Satara,2500.0,25,8,737.0,760.9
Delhi -> Manali,2500.0,14,11,531.0,754.8
Bangalore -> Karad,2425.925925925926,27,9,731.3333333333334,739.4777777777779
Shirdi -> Ahmedabad,2437.5,16,11,550.0,737.05
Pune -> Mangalore,2428.5714285714284,14,5,764.0,734.5714285714286
Bangalore -> Kazhakoottam,2409.090909090909,11,8,698.0,726.6272727272726
Mumbai -> Chitradurga,2388.8888888888887,18,5,792.0,724.6666666666666
Mangalore -> Pune,2400.0,10,3,757.0,724.4
Pune -> Udupi,2400.0,10,4,704.0,724.2
Thiruvananthapuram -> Bangalore,2400.0,10,6,726.0,723.8
Delhi -> Chittor,2400.0,10,8,570.0,723.4
Bangalore -> Attingal,2400.0,10,8,683.0,723.4
Kudal -> Mumbai,2382.3529411764707,17,8,517.0,721.6058823529412
Satara -> Bangalore,2375.0,16,5,745.0,719.5
Mumbai -> Dharwad,2366.6666666666665,15,3,564.0,716.8999999999999
Bangalore -> Thiruvananthapuram,2366.6666666666665,15,10,728.0,715.4999999999999
Mumbai -> Davangere,2346.153846153846,26,7,729.0,715.4461538461538
Mangalore -> Mumbai,2357.1428571428573,14,4,904.0,713.3428571428573
Kundapura -> Mumbai,2357.1428571428573,14,4,806.0,713.3428571428573
Pune -> Chitradurga,2357.1428571428573,14,4,642.0,713.3428571428573
